KorEXO MEASUREMENT DATA FILE EXPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FILE CREATED:,9/23/2022 19:11,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MEAN VALUE:,0.75,1.57,40702.3,1.465,20.96,8.28,44066.9,100,99.4,7.53,2.121,28.44,43777.9,2.92,11.04,28456,1.35,0,1.203,NA,-74.3,21.252,1.465,4.87,0
,,,STANDARD DEVIATION:,0.31,1.25,9629.1,0.464,7.87,2.62,10237.9,11.9,11.8,0.99,0.67,6.62,10175.2,1.12,3.09,6614,6.57,0,0.005,0.08,4.6,1.661,0.464,0.12,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,SENSOR SERIAL NUMBER:,19M102806,19M102806,19M102594,19E101623,19M102832,19M102832,19M102594,20A100850,20A100850,20A100850,19E101623,19M102594,19M102594,19M102806,19M102806,19M102594,20A100888,20A100888,20D100346,20A102072,20A102072,19M102594,19E101623,19E100399,19E100399
Date (MM/DD/YYYY),Time (HH:mm:ss),Time (Fract. Sec),Site Name,Chlorophyll RFU,Chlorophyll ug/L,Cond µS/cm,Depth m,fDOM QSU,fDOM RFU,nLF Cond µS/cm,ODO % sat,ODO % local,ODO mg/L,Pressure psi a,Sal psu,SpCond µS/cm,BGA PE RFU,BGA PE ug/L,TDS mg/L,Turbidity FNU,TSS mg/L,Wiper Position volt,pH,pH mV,Temp °C,Vertical Position m,Battery V,Cable Pwr V
12/20/2021,15:50:00,0,Piney Point,1.08,2.91,45253.9,1.493,17.76,7.22,46715.7,98.8,98.3,7.06,2.16,30.27,46582.4,4.27,14.77,30279,1.47,0,1.197,8.03,-72.6,23.507,1.493,5.08,0
12/20/2021,16:00:00,0,Piney Point,1.2,3.37,45255.8,1.492,18.05,7.31,46714,98.4,97.8,7.02,2.159,30.27,46581,4.65,15.83,30278,0.87,0,1.206,8.04,-73,23.511,1.492,5.08,0
12/20/2021,16:10:00,0,Piney Point,1.07,2.87,45260.1,1.491,17.18,7.02,46714.6,97.8,97.2,6.98,2.157,30.27,46582,3.66,13.09,30278,0.79,0,1.203,8.04,-73,23.514,1.49,5.08,0
12/20/2021,16:20:00,0,Piney Point,1.2,3.36,45256.1,1.492,17.31,7.06,46715.2,98.3,97.7,7.02,2.159,30.27,46582.2,4.36,15.03,30278,1.53,0,1.206,8.03,-72.6,23.51,1.493,5.08,0
12/20/2021,16:30:00,0,Piney Point,1.03,2.69,45253.7,1.502,17.34,7.08,46714.6,97.2,96.6,6.94,2.173,30.27,46581.4,3.92,13.81,30278,0.85,0,1.207,8.03,-72.7,23.508,1.501,5.08,0
12/20/2021,16:40:00,0,Piney Point,1.24,3.53,45234.9,1.508,18.01,7.3,46715,96.6,96.1,6.9,2.182,30.27,46580.1,4.18,14.52,30277,1.02,0,1.212,8.03,-72.5,23.488,1.508,5.08,0
12/20/2021,16:50:00,0,Piney Point,1.23,3.5,45222.1,1.52,17.03,6.97,46718.5,96.6,96,6.9,2.2,30.27,46582.2,4.08,14.25,30278,0.89,0,1.202,8.03,-72.5,23.471,1.521,5.08,0
12/20/2021,17:00:00,0,Piney Point,1.41,4.23,45195,1.536,17.75,7.21,46718.3,97.8,97.2,6.99,2.223,30.27,46579.6,4.67,15.87,30277,0.93,0,1.194,8.03,-72.6,23.444,1.537,5.09,0
12/20/2021,17:10:00,0,Piney Point,1.39,4.13,45180.1,1.556,18.41,7.43,46725.8,98.3,97.7,7.03,2.252,30.27,46585.1,4.49,15.39,30280,0.92,0,1.203,8.03,-72.5,23.421,1.556,5.08,0
12/20/2021,17:20:00,0,Piney Point,1.27,3.67,45193.9,1.566,17.93,7.27,46726.2,98.3,97.7,7.03,2.265,30.28,46586.7,4.36,15.01,30281,1.08,0,1.203,8.03,-72.7,23.435,1.566,5.09,0
12/20/2021,17:30:00,0,Piney Point,1.52,4.66,45196.5,1.573,18.85,7.58,46727,99.4,98.9,7.11,2.275,30.28,46587.6,5.65,18.59,30282,1,0,1.201,8.04,-73.1,23.437,1.574,5.09,0
12/20/2021,17:40:00,0,Piney Point,1.21,3.41,45186.3,1.583,18.63,7.5,46726.3,98.5,98,7.05,2.291,30.28,46586.1,4.29,14.83,30281,0.92,0,1.2,8.04,-73,23.427,1.583,5.09,0
12/20/2021,17:50:00,0,Piney Point,1.47,4.46,45146.8,1.591,18.02,7.3,46728.5,98.8,98.2,7.07,2.301,30.28,46584.6,5.6,18.46,30280,1.01,0,1.2,8.04,-72.8,23.384,1.592,5.09,0
12/20/2021,18:00:00,0,Piney Point,1.38,4.1,45137.2,1.593,17.58,7.16,46732.8,97.5,96.9,6.98,2.305,30.28,46587.6,5.25,17.47,30282,0.74,0,1.2,8.04,-72.8,23.37,1.592,5.09,0
12/20/2021,18:10:00,0,Piney Point,1.56,4.83,45098.7,1.586,18.35,7.41,46735.2,98.6,98,7.06,2.295,30.28,46586.5,5.33,17.7,30281,1.01,0,1.2,8.04,-72.8,23.328,1.586,5.09,0
12/20/2021,18:20:00,0,Piney Point,1.55,4.79,45081.1,1.58,18.87,7.58,46739,98.2,97.6,7.04,2.286,30.28,46588.4,5.54,18.3,30282,1.05,0,1.197,8.03,-72.4,23.306,1.58,5.09,0
12/20/2021,18:30:00,0,Piney Point,1.34,3.94,45075.3,1.574,18.26,7.38,46741.2,96.8,96.3,6.94,2.277,30.28,46589.8,4.94,16.63,30283,0.84,0,1.194,8.03,-72.4,23.298,1.575,5.09,0
12/20/2021,18:40:00,0,Piney Point,1.49,4.54,45063.2,1.566,18.56,7.48,46739.8,96.1,95.5,6.89,2.266,30.28,46587.5,4.85,16.38,30282,1.11,0,1.195,8.03,-72.6,23.287,1.566,5.09,0
12/20/2021,18:50:00,0,Piney Point,1.44,4.33,45056.6,1.562,18.41,7.43,46741.6,97.3,96.7,6.98,2.261,30.28,46588.6,5.1,17.08,30283,1.24,0,1.203,8.04,-72.7,23.278,1.562,5.08,0
12/20/2021,19:00:00,0,Piney Point,1.4,4.2,45048.6,1.556,18.98,7.62,46743.2,97.1,96.5,6.96,2.252,30.28,46589.4,5.18,17.3,30283,0.96,0,1.21,8.04,-72.8,23.269,1.556,5.08,0
12/20/2021,19:10:00,0,Piney Point,1.49,4.54,45041.5,1.547,19.7,7.86,46745.4,98,97.4,7.03,2.239,30.28,46590.8,5.49,18.15,30284,1.13,0,1.203,8.04,-72.8,23.259,1.548,5.09,0
12/20/2021,19:20:00,0,Piney Point,1.24,3.56,45038.1,1.541,18.75,7.54,46744.8,94.2,93.7,6.76,2.229,30.28,46589.9,4.41,15.15,30283,0.81,0,1.204,8.03,-72.2,23.256,1.541,5.09,0
12/20/2021,19:30:00,0,Piney Point,1.27,3.68,45008,1.536,18.62,7.5,46748.4,95.8,95.3,6.88,2.223,30.28,46590.6,4.81,16.28,30284,1.05,0,1.204,8.03,-72.4,23.222,1.536,5.09,0
12/20/2021,19:40:00,0,Piney Point,1.28,3.69,45006.5,1.532,18.94,7.61,46748.3,93.8,93.3,6.73,2.217,30.28,46590.3,4.34,14.96,30284,0.94,0,1.196,8.03,-72.4,23.22,1.532,5.07,0
12/20/2021,19:50:00,0,Piney Point,1.33,3.91,44985.1,1.524,18.75,7.54,46747.4,94.2,93.7,6.77,2.205,30.28,46587.6,4.67,15.87,30282,0.86,0,1.203,8.02,-72.1,23.199,1.524,5.08,0
12/20/2021,20:00:00,0,Piney Point,1.28,3.68,44959.4,1.527,17.98,7.29,46753.9,94.1,93.6,6.76,2.209,30.28,46591.3,4.36,15.02,30284,0.74,0,1.199,8.02,-72,23.166,1.527,5.08,0
12/20/2021,20:10:00,0,Piney Point,1.3,3.79,44939,1.53,18.44,7.44,46756.1,95.4,94.8,6.86,2.214,30.28,46591.5,4.68,15.9,30284,0.76,0,1.194,8.03,-72.3,23.143,1.53,5.08,0
12/20/2021,20:20:00,0,Piney Point,1.42,4.28,44918.7,1.54,19.17,7.68,46755.1,96.8,96.3,6.96,2.229,30.28,46588.8,5.12,17.12,30283,0.88,0,1.2,8.03,-72.3,23.123,1.54,5.08,0
12/20/2021,20:30:00,0,Piney Point,1.42,4.26,44910.2,1.552,19.31,7.73,46759.6,96.5,95.9,6.94,2.246,30.29,46592.2,4.99,16.75,30285,1.17,0,1.21,8.02,-72,23.11,1.552,5.07,0
12/20/2021,20:40:00,0,Piney Point,1.38,4.09,44873.7,1.563,19.55,7.81,46760,96.5,96,6.95,2.262,30.28,46589.4,4.84,16.35,30283,1.05,0,1.208,8.02,-71.6,23.072,1.563,5.07,0
12/20/2021,20:50:00,0,Piney Point,1.37,4.07,44850.2,1.574,19.35,7.74,46766.3,96.2,95.6,6.92,2.277,30.29,46593,5.12,17.12,30285,0.88,0,1.205,8.02,-72,23.042,1.574,5.08,0
12/20/2021,21:00:00,0,Piney Point,1.32,3.86,44839.3,1.587,19.16,7.68,46768,95,94.5,6.84,2.297,30.29,46593.7,4.75,16.1,30286,1.01,0,1.205,8.02,-71.9,23.029,1.587,5.08,0
12/20/2021,21:10:00,0,Piney Point,1.25,3.58,44787.5,1.599,18.97,7.62,46772.3,93.6,93,6.74,2.313,30.29,46593,4.61,15.72,30285,0.84,0,1.199,8.02,-71.8,22.971,1.599,5.07,0
12/20/2021,21:20:00,0,Piney Point,1.18,3.31,44768.5,1.606,19.26,7.72,46777.7,92.2,91.6,6.65,2.324,30.29,46596.4,4.13,14.37,30288,1.1,0,1.195,8.01,-71.4,22.946,1.606,5.08,0
12/20/2021,21:30:00,0,Piney Point,1.3,3.78,44752,1.621,19.33,7.74,46779.4,91.9,91.3,6.63,2.346,30.29,46596.5,4.69,15.94,30288,0.95,0,1.203,8.01,-71.3,22.928,1.621,5.06,0
12/20/2021,21:40:00,0,Piney Point,1.27,3.67,44743.8,1.636,19.4,7.76,46784.1,92.5,92,6.67,2.368,30.29,46600.1,4.48,15.36,30290,0.77,0,1.211,8.01,-71.4,22.914,1.636,5.07,0
12/20/2021,21:50:00,0,Piney Point,1.23,3.51,44719.3,1.657,19.31,7.73,46781.4,91.7,91.1,6.62,2.397,30.29,46595.5,4.53,15.49,30287,1.09,0,1.201,8.01,-71.2,22.892,1.658,5.08,0
12/20/2021,22:00:00,0,Piney Point,1.14,3.12,44708.9,1.677,19,7.63,46789.9,92.4,91.8,6.67,2.427,30.3,46602.4,4.25,14.71,30292,0.89,0,1.202,8.01,-71.4,22.873,1.677,5.06,0
12/20/2021,22:10:00,0,Piney Point,1.27,3.67,44694.9,1.699,19.27,7.72,46799,94,93.5,6.79,2.459,30.3,46609.5,4.81,16.28,30296,1.01,0,1.203,8.02,-71.9,22.849,1.699,5.07,0
12/20/2021,22:20:00,0,Piney Point,1.19,3.35,44659.3,1.723,19.23,7.7,46805.2,93.2,92.6,6.73,2.493,30.3,46612,4.51,15.43,30298,0.83,0,1.208,8.02,-71.6,22.807,1.724,5.07,0
12/20/2021,22:30:00,0,Piney Point,1.05,2.79,44644.2,1.743,19.82,7.9,46815.1,93,92.4,6.72,2.522,30.31,46619.7,4.18,14.51,30303,0.95,0,1.197,8.02,-71.7,22.781,1.743,5.07,0
12/20/2021,22:40:00,0,Piney Point,0.99,2.53,44605.4,1.758,19.38,7.75,46818,91.6,91.1,6.63,2.545,30.31,46619,3.62,12.98,30302,0.9,0,1.201,8.01,-71.1,22.739,1.758,5.07,0
12/20/2021,22:50:00,0,Piney Point,1,2.56,44610.4,1.772,19.14,7.67,46824.5,91.3,90.7,6.6,2.565,30.32,46625.4,4.15,14.44,30307,0.84,0,1.203,8.01,-71.2,22.737,1.773,5.07,0
12/20/2021,23:00:00,0,Piney Point,0.94,2.34,44611.1,1.783,19.17,7.68,46822.6,91.6,91.1,6.63,2.581,30.31,46623.7,3.76,13.36,30305,0.81,0,1.196,8.02,-71.5,22.74,1.784,5.06,0
12/20/2021,23:10:00,0,Piney Point,1.03,2.7,44539.4,1.792,19.31,7.73,46811.5,90.1,89.6,6.53,2.593,30.3,46607.5,3.66,13.07,30295,1.2,0,1.202,8.01,-71.2,22.677,1.791,5.07,0
12/20/2021,23:20:00,0,Piney Point,1.02,2.66,44512.2,1.795,18.95,7.61,46827.6,89.5,89,6.49,2.598,30.31,46619.9,4.04,14.13,30303,1.37,0,1.2,8.02,-71.4,22.633,1.796,5.06,0
12/20/2021,23:30:00,0,Piney Point,0.93,2.3,44500.2,1.799,18.2,7.36,46827.7,88.8,88.3,6.44,2.604,30.31,46618.9,3.56,12.79,30302,1.1,0,1.205,8.02,-71.8,22.621,1.799,5.06,0
12/20/2021,23:40:00,0,Piney Point,0.92,2.25,44490.7,1.798,18.98,7.62,46831.1,88.2,87.6,6.39,2.602,30.31,46621.2,3.74,13.31,30304,1.05,0,1.212,8.02,-71.5,22.607,1.797,5.07,0
12/20/2021,23:50:00,0,Piney Point,0.84,1.92,44484.6,1.797,18.45,7.44,46831,87.1,86.6,6.32,2.6,30.31,46620.6,3.31,12.1,30303,0.78,0,1.206,8.02,-71.4,22.601,1.797,5.06,0
12/21/2021,0:00:00,0,Piney Point,0.93,2.28,44463,1.798,18.44,7.44,46832.4,87.4,86.9,6.34,2.602,30.31,46620,3.33,12.17,30303,1.29,0,1.2,8.01,-71.2,22.578,1.798,5.06,0
