KorEXO MEASUREMENT DATA FILE EXPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FILE CREATED:,6/4/2021 18:54,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MEAN VALUE:,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,,STANDARD DEVIATION:,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,SENSOR SERIAL NUMBER:,19E104582,19E104582,19D105577,19F100216,19E101781,19E101781,19D105577,19F100385,19F100385,19F100385,19F100216,19D105577,19D105577,19E104582,19E104582,19D105577,19F000167,19F000167,19F100282,18A100917,18A100917,19D105577,19F100216,19F000406,19F000406
Date (MM/DD/YYYY),Time (HH:mm:ss),Time (Fract. Sec),Site Name,Chlorophyll RFU,Chlorophyll ug/L,Cond µS/cm,Depth m,fDOM QSU,fDOM RFU,nLF Cond µS/cm,ODO % sat,ODO % local,ODO mg/L,Pressure psi a,Sal psu,SpCond µS/cm,BGA PE RFU,BGA PE ug/L,TDS mg/L,Turbidity FNU,TSS mg/L,Wiper Position volt,pH,pH mV,Temp °C,Vertical Position m,Battery V,Cable Pwr V
5/17/2021,16:20:00,0,Piney Point,0.5,2.21,50591.5,2.286,15.72,5.33,48680.9,118,118,7.89,3.317,31.86,48864.5,0.92,3.31,31762,0.45,0,1.197,8.21,-87.3,26.85,2.288,5.2,0
5/17/2021,16:30:00,0,Piney Point,0.47,2.09,50598.4,2.283,15.17,5.15,48689,115.1,115.1,7.69,3.313,31.87,48872.4,0.9,3.24,31767,0.43,0,1.19,8.2,-86.7,26.849,2.282,5.19,0
5/17/2021,16:40:00,0,Piney Point,0.5,2.19,50598.5,2.282,15.51,5.26,48690,116.2,116.2,7.77,3.312,31.87,48873.3,0.97,3.45,31768,0.42,0,1.191,8.2,-87.1,26.848,2.284,5.19,0
5/17/2021,16:50:00,0,Piney Point,0.55,2.4,50613.6,2.275,15.52,5.26,48694,114.8,114.8,7.67,3.301,31.87,48878.4,1.03,3.67,31771,0.38,0,1.209,8.2,-86.8,26.859,2.272,5.2,0
5/17/2021,17:00:00,0,Piney Point,0.51,2.22,50638.6,2.269,15.11,5.13,48691.8,113.6,113.6,7.59,3.292,31.87,48878.9,0.94,3.35,31771,0.35,0,1.2,8.19,-86.5,26.885,2.27,5.19,0
5/17/2021,17:10:00,0,Piney Point,0.48,2.12,50656.9,2.263,15.23,5.17,48689.6,115.7,115.7,7.73,3.284,31.87,48878.7,0.9,3.24,31771,0.42,0,1.199,8.2,-86.9,26.905,2.273,5.2,0
5/17/2021,17:20:00,0,Piney Point,0.52,2.29,50675.7,2.255,15.91,5.39,48669.8,117.8,117.8,7.86,3.272,31.86,48862.7,1.01,3.6,31761,0.36,0,1.207,8.21,-87.4,26.943,2.254,5.2,0
5/17/2021,17:30:00,0,Piney Point,0.72,3.04,50701.1,2.245,16.15,5.48,48653.3,120.5,120.5,8.03,3.258,31.85,48850.3,1.27,4.43,31753,0.7,0,1.207,8.22,-88.2,26.984,2.246,5.2,0
5/17/2021,17:40:00,0,Piney Point,0.64,2.72,50507.4,2.237,16.61,5.63,48351.8,132.5,132.5,8.83,3.245,31.63,48559.5,1.33,4.62,31564,0.43,0,1.198,8.26,-90.8,27.1,2.238,5.19,0
5/17/2021,17:50:00,0,Piney Point,0.6,2.59,50469.9,2.227,16.6,5.63,48300.4,135.7,135.7,9.04,3.232,31.59,48509.5,1.19,4.17,31531,0.25,0,1.196,8.27,-91,27.116,2.225,5.2,0
